m/z,z
1149.5433,2
1295.091,2
888.9435,2
990.4832,2
1071.5096,2
1092.0229,2
1217.0573,2
1362.605,2
898.919,2
1000.4587,2
1081.4851,2
1101.9983,2
1227.0328,2
1372.5805,2
898.919,2
1000.4587,2
1081.4851,2
1101.9983,2
1227.0328,2
1372.5805,2
962.9664,2
1064.5061,2
1145.5325,2
1166.0458,2
1291.0803,2
1436.628,2
756.8986,2
858.4382,2
939.4647,2
959.9779,2
1085.0124,2
1230.5601,2
962.9664,2
1064.5061,2
1145.5325,2
1166.0458,2
1291.0803,2
1436.628,2
958.5407,2
1060.0804,2
1141.1068,2
1161.6201,2
1286.6546,2
1432.2023,2
958.5407,2
1060.0804,2
1141.1068,2
1161.6201,2
1286.6546,2
1432.2023,2
943.4389,2
1044.9786,2
1126.005,2
1146.5182,2
1271.5527,2
1417.1004,2
885.9254,2
987.4651,2
1068.4915,2
1089.0048,2
1214.0392,2
1359.5869,2
952.991,2
1054.5307,2
1135.5571,2
1156.0703,2
1281.1048,2
1426.6525,2
943.4389,2
1044.9786,2
1126.005,2
1146.5182,2
1271.5527,2
1417.1004,2
1019.565,2
1121.1047,2
1202.1311,2
1222.6443,2
1347.6788,2
1493.2265,2
974.5268,2
1076.0665,2
1157.0929,2
1177.6062,2
1302.6406,2
1448.1883,2
996.5252,2
1098.0649,2
1179.0913,2
1199.6046,2
1324.639,2
1470.1867,2
1027.544,2
1129.0837,2
1210.1101,2
1230.6234,2
1355.6578,2
1501.2055,2
974.5268,2
1076.0665,2
1157.0929,2
1177.6062,2
1302.6406,2
1448.1883,2
1005.5311,2
1107.0708,2
1188.0972,2
1208.6105,2
1333.6449,2
1479.1926,2
1056.0547,2
1157.5944,2
1238.6208,2
1259.1341,2
1384.1686,2
1529.7163,2
950.0144,2
1051.5541,2
1132.5805,2
1153.0938,2
1278.1283,2
1423.676,2
1088.5823,2
1190.122,2
1271.1484,2
1291.6617,2
1416.6961,2
1562.2438,2
1049.0432,2
1150.5829,2
1231.6093,2
1252.1226,2
1377.157,2
1522.7047,2
974.5268,2
1076.0665,2
1157.0929,2
1177.6062,2
1302.6406,2
1448.1883,2
1082.606,2
1184.1457,2
1265.1721,2
1285.6853,2
1410.7198,2
1556.2675,2
1079.5283,2
1181.068,2
1262.0944,2
1282.6077,2
1407.6421,2
1553.1898,2
1088.5823,2
1190.122,2
1271.1484,2
1291.6617,2
1416.6961,2
1562.2438,2
1024.061,2
1125.6007,2
1206.6271,2
1227.1404,2
1352.1748,2
1497.7225,2
1097.9946,2
1199.5342,2
1280.5607,2
1301.0739,2
1426.1084,2
1571.6561,2
1024.061,2
1125.6007,2
1206.6271,2
1227.1404,2
1352.1748,2
1497.7225,2
1097.9946,2
1199.5342,2
1280.5607,2
1301.0739,2
1426.1084,2
1571.6561,2
1088.5823,2
1190.122,2
1271.1484,2
1291.6617,2
1416.6961,2
1562.2438,2
1031.5259,2
1133.0656,2
1214.092,2
1234.6053,2
1359.6397,2
1505.1874,2
1088.5823,2
1190.122,2
1271.1484,2
1291.6617,2
1416.6961,2
1562.2438,2
1062.5888,2
1164.1284,2
1245.1549,2
1265.6681,2
1390.7026,2
1536.2503,2
1088.5823,2
1190.122,2
1271.1484,2
1291.6617,2
1416.6961,2
1562.2438,2
994.0593,2
1095.599,2
1176.6254,2
1197.1387,2
1322.1731,2
1467.7208,2
1107.0696,2
1208.6093,2
1289.6357,2
1310.1489,2
1435.1834,2
1580.7311,2
1173.1045,2
1274.6442,2
1355.6706,2
1376.1839,2
1501.2183,2
1646.766,2
949.9672,2
1051.5069,2
1132.5333,2
1153.0466,2
1278.081,2
1423.6287,2
1171.117,2
1272.6567,2
1353.6831,2
1374.1964,2
1499.2309,2
1644.7786,2
1120.0601,2
1221.5998,2
1302.6262,2
1323.1395,2
1448.1739,2
1593.7216,2
1120.0601,2
1221.5998,2
1302.6262,2
1323.1395,2
1448.1739,2
1593.7216,2
1042.0096,2
1143.5493,2
1224.5757,2
1245.0889,2
1370.1234,2
1515.6711,2
1143.55,2
1245.0897,2
1326.1161,2
1346.6294,2
1471.6638,2
1617.2115,2
1108.039,2
1209.5787,2
1290.6051,2
1311.1184,2
1436.1528,2
1581.7005,2
1143.55,2
1245.0897,2
1326.1161,2
1346.6294,2
1471.6638,2
1617.2115,2
1124.5842,2
1226.1239,2
1307.1503,2
1327.6636,2
1452.698,2
1598.2457,2
1143.55,2
1245.0897,2
1326.1161,2
1346.6294,2
1471.6638,2
1617.2115,2
1182.0977,2
1283.6374,2
1364.6638,2
1385.177,2
1510.2115,2
1655.7592,2
1078.4858,2
1180.0255,2
1261.0519,2
1281.5651,2
1406.5996,2
1552.1473,2
1227.6591,2
1329.1988,2
1410.2252,2
1430.7384,2
1555.7729,2
1701.3206,2
998.4936,2
1100.0332,2
1181.0597,2
1201.5729,2
1326.6074,2
1472.1551,2
1227.6591,2
1329.1988,2
1410.2252,2
1430.7384,2
1555.7729,2
1701.3206,2
1184.5814,2
1286.1211,2
1367.1475,2
1387.6608,2
1512.6952,2
1658.2429,2
1184.5814,2
1286.1211,2
1367.1475,2
1387.6608,2
1512.6952,2
1658.2429,2
1042.0096,2
1143.5493,2
1224.5757,2
1245.0889,2
1370.1234,2
1515.6711,2
1199.6278,2
1301.1675,2
1382.1939,2
1402.7071,2
1527.7416,2
1673.2893,2
1147.0493,2
1248.589,2
1329.6154,2
1350.1287,2
1475.1631,2
1620.7108,2
1199.6278,2
1301.1675,2
1382.1939,2
1402.7071,2
1527.7416,2
1673.2893,2
1204.5628,2
1306.1025,2
1387.1289,2
1407.6422,2
1532.6766,2
1678.2243,2
1261.5843,2
1363.1239,2
1444.1503,2
1464.6636,2
1589.6981,2
1735.2458,2
1339.6497,2
1441.1894,2
1522.2158,2
1542.729,2
1667.7635,2
1813.3112,2
1364.1939,2
1465.7336,2
1546.76,2
1567.2733,2
1692.3077,2
1837.8554,2
1340.1919,2
1441.7316,2
1522.758,2
1543.2712,2
1668.3057,2
1813.8534,2
1262.1413,2
1363.681,2
1444.7074,2
1465.2207,2
1590.2551,2
1735.8028,2
1405.2733,2
1506.813,2
1587.8394,2
1608.3527,2
1733.3871,2
1878.9348,2
1483.7864,2
1585.3261,2
1666.3525,2
1686.8658,2
1811.9003,2
1957.448,2
154.109,3
221.8021,3
275.8197,3
289.4952,3
372.8515,3
469.8833,3
155.7201,3
223.4132,3
277.4308,3
291.1064,3
374.4627,3
471.4945,3
155.7201,3
223.4132,3
277.4308,3
291.1064,3
374.4627,3
471.4945,3
160.392,3
228.0851,3
282.1027,3
295.7782,3
379.1345,3
476.1663,3
166.0726,3
233.7657,3
287.7833,3
301.4588,3
384.8151,3
481.8469,3
170.7687,3
238.4619,3
292.4795,3
306.155,3
389.5113,3
486.5431,3
175.4201,3
243.1132,3
297.1308,3
310.8064,3
394.1626,3
491.1945,3
139.4215,3
207.1146,3
261.1322,3
274.8077,3
358.164,3
455.1958,3
149.4128,3
217.106,3
271.1236,3
284.7991,3
368.1554,3
465.1872,3
194.7637,3
262.4568,3
316.4744,3
330.1499,3
413.5062,3
510.538,3
167.7724,3
235.4655,3
289.4831,3
303.1586,3
386.5149,3
483.5467,3
208.1123,3
275.8054,3
329.823,3
343.4985,3
426.8548,3
523.8866,3
208.1123,3
275.8054,3
329.823,3
343.4985,3
426.8548,3
523.8866,3
216.0953,3
283.7884,3
337.806,3
351.4815,3
434.8378,3
531.8696,3
162.0969,3
229.79,3
283.8076,3
297.4831,3
380.8394,3
477.8712,3
225.4498,3
293.143,3
347.1606,3
360.8361,3
444.1924,3
541.2242,3
237.7779,3
305.471,3
359.4886,3
373.1641,3
456.5204,3
553.5522,3
248.813,3
316.5061,3
370.5237,3
384.1993,3
467.5555,3
564.5873,3
210.7866,3
278.4797,3
332.4973,3
346.1728,3
429.5291,3
526.5609,3
212.4467,3
280.1398,3
334.1574,3
347.8329,3
431.1892,3
528.221,3
258.7936,3
326.4867,3
380.5043,3
394.1799,3
477.5362,3
574.568,3
207.1208,3
274.8139,3
328.8315,3
342.507,3
425.8633,3
522.8951,3
220.1425,3
287.8356,3
341.8532,3
355.5287,3
438.885,3
535.9168,3
263.7922,3
331.4853,3
385.5029,3
399.1784,3
482.5347,3
579.5665,3
259.1545,3
326.8476,3
380.8652,3
394.5407,3
477.897,3
574.9288,3
267.8043,3
335.4974,3
389.515,3
403.1905,3
486.5468,3
583.5786,3
268.464,3
336.1572,3
390.1748,3
403.8503,3
487.2066,3
584.2384,3
280.4581,3
348.1513,3
402.1689,3
415.8444,3
499.2007,3
596.2325,3
280.4762,3
348.1693,3
402.1869,3
415.8624,3
499.2187,3
596.2505,3
280.4581,3
348.1513,3
402.1689,3
415.8444,3
499.2007,3
596.2325,3
220.778,3
288.4711,3
342.4887,3
356.1642,3
439.5205,3
536.5523,3
296.4883,3
364.1814,3
418.199,3
431.8745,3
515.2308,3
612.2626,3
301.4919,3
369.1851,3
423.2027,3
436.8782,3
520.2345,3
617.2663,3
301.8528,3
369.5459,3
423.5635,3
437.2391,3
520.5953,3
617.6272,3
301.8528,3
369.5459,3
423.5635,3
437.2391,3
520.5953,3
617.6272,3
307.8272,3
375.5203,3
429.5379,3
443.2135,3
526.5697,3
623.6015,3
312.8271,3
380.5202,3
434.5378,3
448.2133,3
531.5696,3
628.6014,3
278.824,3
346.5171,3
400.5347,3
414.2103,3
497.5666,3
594.5984,3
321.8078,3
389.5009,3
443.5185,3
457.1941,3
540.5503,3
637.5822,3
282.8335,3
350.5266,3
404.5443,3
418.2198,3
501.5761,3
598.6079,3
282.8335,3
350.5266,3
404.5443,3
418.2198,3
501.5761,3
598.6079,3
281.4739,3
349.167,3
403.1846,3
416.8601,3
500.2164,3
597.2482,3
281.4739,3
349.167,3
403.1846,3
416.8601,3
500.2164,3
597.2482,3
339.1866,3
406.8797,3
460.8974,3
474.5729,3
557.9292,3
654.961,3
339.5062,3
407.1994,3
461.217,3
474.8925,3
558.2488,3
655.2806,3
350.8414,3
418.5345,3
472.5521,3
486.2276,3
569.5839,3
666.6157,3
354.5377,3
422.2308,3
476.2484,3
489.9239,3
573.2802,3
670.312,3
312.8333,3
380.5264,3
434.544,3
448.2195,3
531.5758,3
628.6076,3
358.5097,3
426.2028,3
480.2204,3
493.8959,3
577.2522,3
674.284,3
312.8333,3
380.5264,3
434.544,3
448.2195,3
531.5758,3
628.6076,3
364.2094,3
431.9025,3
485.9202,3
499.5957,3
582.952,3
679.9838,3
325.5318,3
393.225,3
447.2426,3
460.9181,3
544.2744,3
641.3062,3
325.5318,3
393.225,3
447.2426,3
460.9181,3
544.2744,3
641.3062,3
321.8078,3
389.5009,3
443.5185,3
457.1941,3
540.5503,3
637.5822,3
333.5076,3
401.2007,3
455.2183,3
468.8938,3
552.2501,3
649.2819,3
377.8486,3
445.5417,3
499.5593,3
513.2348,3
596.5911,3
693.6229,3
356.5231,3
424.2163,3
478.2339,3
491.9094,3
575.2657,3
672.2975,3
381.1791,3
448.8723,3
502.8899,3
516.5654,3
599.9217,3
696.9535,3
376.5218,3
444.2149,3
498.2325,3
511.908,3
595.2643,3
692.2961,3
382.5204,3
450.2136,3
504.2312,3
517.9067,3
601.263,3
698.2948,3
381.1791,3
448.8723,3
502.8899,3
516.5654,3
599.9217,3
696.9535,3
344.8621,3
412.5553,3
466.5729,3
480.2484,3
563.6047,3
660.6365,3
439.226,3
506.9191,3
560.9368,3
574.6123,3
657.9686,3
755.0004,3
334.8624,3
402.5555,3
456.5731,3
470.2486,3
553.6049,3
650.6367,3
382.2032,3
449.8963,3
503.914,3
517.5895,3
600.9458,3
697.9776,3
457.5889,3
525.282,3
579.2996,3
592.9751,3
676.3314,3
773.3632,3
420.5455,3
488.2387,3
542.2563,3
555.9318,3
639.2881,3
736.3199,3
420.915,3
488.6081,3
542.6257,3
556.3013,3
639.6575,3
736.6894,3
384.1973,3
451.8904,3
505.908,3
519.5835,3
602.9398,3
699.9716,3
423.8775,3
491.5706,3
545.5882,3
559.2637,3
642.62,3
739.6518,3
477.221,3
544.9141,3
598.9318,3
612.6073,3
695.9636,3
792.9954,3
423.8775,3
491.5706,3
545.5882,3
559.2637,3
642.62,3
739.6518,3
423.8775,3
491.5706,3
545.5882,3
559.2637,3
642.62,3
739.6518,3
377.2142,3
444.9073,3
498.9249,3
512.6004,3
595.9567,3
692.9885,3
433.9028,3
501.5959,3
555.6135,3
569.289,3
652.6453,3
749.6771,3
429.2479,3
496.941,3
550.9586,3
564.6341,3
647.9904,3
745.0222,3
363.1802,3
430.8733,3
484.8909,3
498.5664,3
581.9227,3
678.9545,3
486.2402,3
553.9333,3
607.951,3
621.6265,3
704.9828,3
802.0146,3
449.2384,3
516.9315,3
570.9491,3
584.6246,3
667.9809,3
765.0127,3
454.5407,3
522.2339,3
576.2515,3
589.927,3
673.2833,3
770.3151,3
457.2307,3
524.9238,3
578.9414,3
592.6169,3
675.9732,3
773.005,3
362.5326,3
430.2257,3
484.2433,3
497.9188,3
581.2751,3
678.3069,3
454.5407,3
522.2339,3
576.2515,3
589.927,3
673.2833,3
770.3151,3
376.5218,3
444.2149,3
498.2325,3
511.908,3
595.2643,3
692.2961,3
420.915,3
488.6081,3
542.6257,3
556.3013,3
639.6575,3
736.6894,3
385.5351,3
453.2283,3
507.2459,3
520.9214,3
604.2777,3
701.3095,3
466.5758,3
534.2689,3
588.2865,3
601.962,3
685.3183,3
782.3501,3
472.9487,3
540.6418,3
594.6594,3
608.335,3
691.6912,3
788.7231,3
401.5225,3
469.2156,3
